Sr No	Date 	Startup Name	Industry Vertical	SubVertical	City Location	Investors Name	InvestmentnType	Amount Clean	Is _disclosed
1	09-01-20	BYJU’S	E-Tech	E-learning	Bengaluru	Tiger Global Management	Private Equity Round	"20,00,00,000"	Yes
2	13-01-20	Shuttl	Transportation	App based shuttle service	Gurgaon	Susquehanna Growth Equity	Series C	"80,48,394"	Yes
3	09-01-20	Mamaearth	E-commerce	Retailer of baby and toddler products	Bengaluru	Sequoia Capital India	Series B	"1,83,58,860"	Yes
4	02-01-20	Wealthbucket	FinTech	Online Investment	New Delhi	Vinod Khatumal	Pre-series A	"30,00,000"	Yes
5	02-01-20	Fashor	Fashion and Apparel	Embroiled Clothes For Women	Mumbai	Sprout Venture Partners	Seed Round	"18,00,000"	Yes
6	13-01-20	Pando	Logistics	"Open-market, freight management platform"	Chennai	Chiratae Ventures	Series A	"90,00,000"	Yes
7	10-01-20	Zomato	Hospitality	Online Food Delivery Platform	Gurgaon	Ant Financial	Private Equity Round	"15,00,00,000"	Yes
8	12-12-19	Ecozen	Technology	Agritech	Pune	Sathguru Catalyzer Advisors	Series A	"60,00,000"	Yes
9	06-12-19	CarDekho	E-Commerce	Automobile	Gurgaon	Ping An Global Voyager Fund	Series D	"7,00,00,000"	Yes
10	03-12-19	Dhruva Space	Aerospace	Satellite Communication	Bengaluru	"Mumbai Angels, Ravikanth Reddy"	Seed	"5,00,00,000"	Yes
11	13-12-19	Rivigo	Technology	Logistics Services and Solutions	Gurgaon	"SAIF Partners, Spring Canter Investment Ltd."	Series F	"2,00,00,000"	Yes
12	17-12-19	Healthians	B2B-focused foodtech startup	Food Solutions For Corporate	Bengaluru	"Paytm, NPTK, Sabre Partners and Neoplux"	Series C	"1,20,00,000"	Yes
13	16-12-19	Licious	E-Commerce	Online Meat And Seafood Ordering Startup	Bengaluru	Vertex Growth Fund	Series E	"3,00,00,000"	Yes
14	16-12-19	InCred	Finance	Non-Banking Financial Company	Mumbai		Debt Funding	"59,00,000"	Yes
15	14-12-19	Trell	Video	Experience Discovery Platform	Bengaluru	Ruizheng Investment	Seed Round	"20,00,000"	Yes
16	11-12-19	Rein Games	Gaming	Real money based gaming startup	Noida	Manipal Education and Medical Group (MEMG)	Seed Round	"5,00,00,000"	Yes
17	20-12-19	Lenskart.com	E-Commerce	Online Eyewear Shopping Portal	Faridabad	SoftBank Vision Fund	Series G	"23,10,00,000"	Yes
18	13-11-19	Freshworks	Software	Business and customer engagement tools	San Francisco	"Sequoia, CapitalG, Accel"	Series H	"15,00,00,000"	Yes
19	14-11-19	Misters	Health and wellness	Men's Health and Wellness brand	Gurgaon	"Sauce.vc, Rainforest Ventures"	Series B	"4,86,000"	Yes
20	13-11-19	Sunstone Eduversity Pvt. Ltd	Education	Elearning	Gurgaon	"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg"	Seed	"15,00,000"	Yes
21	17-11-19	Burger Singh	Food and Beverage	Indian Burger Brand	Gurgaon	RB Investments	Venture		No
22	18-11-19	Healthians	Health and Wellness	Healthcare services	Gurgaon	"DG Daiwa Ventures, DG Incubation"	Series B	"1,20,00,000"	Yes
23	15-11-19	Ninjacart	B2B Marketing	Agritech	Bengaluru	Trifecta Capital Advisors	Debt Funding	"2,60,00,000"	Yes
24	20-11-19	Aye Finance	FinTech	Financial Services To MSMEs	Gurgaon	FinTech	Debt Funding	"1,74,11,265"	Yes
25	12-11-19	SuperGaming	Video Games	Social gaming platform	Pune	Dream Incubator	Seed Funding	"13,00,000"	Yes
26	20-11-19	Clumio	SaaS	Recovery software	San Jose	"Altimeter Capital, Sutter Hill Ventures"	Series C	"13,50,00,000"	Yes
27	11-11-19	eBikeGo	Last Mile Transportation	Electric bike rental	Amritsar	Startup Buddy	Seed	"3,00,000"	Yes
28	19-11-19	Digital Mall Asia	E-Commerce	Virtual e-commerce platform	New Delhi	Amour Infrastructure	Seed Funding	"22,00,00,000"	Yes
29	18-11-19	Medikabazaar	Healthcare	B2B platform for medical supplies	Mumbai	"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing"	Series B	"1,58,00,000"	Yes
30	15-11-19	Vogo Automotive	Last Mile Transportation	Scooter sharing app	Bengaluru	"Matrix Partners, Stellaris Venture Partners, Kalaari Capital"	Series B	"28,30,00,000"	Yes
31	19-11-19	Furtados School of Music	Education	Music Education	Tulangan	IAN Fund and DSG Consumer Partners		"20,00,00,000"	Yes
32	25-11-19	Paytm	FinTech	Mobile Wallet	Noida	Vijay Shekhar Sharma	Funding Round	"1,00,00,00,000"	Yes
33	04-10-19	Dunzo	Customer Service	Delivery Service	Bengaluru	Lightbox	Series D	"4,50,00,000"	Yes
34	02-10-19	Udaan	B2B	Business development	Bengaluru	"Altimeter Capital, DST Global"	Series D	"58,50,00,000"	Yes
35	21-10-19	The Man Company	Consumer Goods	Beauty and Grooming	Gurgaon	Ayushmann Khurana	Corporate Round		No
36	05-09-19	FPL Technologies	FinTech	Financial Services	Pune	"Matrix Partners India, Sequoia India"	Maiden Round	"45,00,000"	Yes
37	04-09-19	Cashflo	FinTech	Invoice discounting platform and SME lending marketplace	Mumbai	SAIF Partners	Series A	"33,00,000"	Yes
38	04-09-19	Digital F5	"Advertising, Marketing"	Digital marketing firm	Mumbai	TIW Private Equity	Private Equity Round	"60,00,000"	Yes
39	04-09-19	3rdFlix	SaaS	Education Technology	Hyderabad	Exfinity Venture Partners	pre-series A	"50,00,000"	Yes
40	04-09-19	75F	IoT	Building automation system	Burnsville	Breakthrough Energy Ventures	Series A	"1,80,00,000"	Yes
41	04-09-19	Myelin Foundry	Information Technology	Deep-technology	Bengaluru	Endiya Partners	Seed	"10,00,000"	Yes
42	04-09-19	Atomberg Technology	Consumer Technology	"Consumer Electronics, Home Appliances"	Mumbai	A91 Partners	Series A	"1,00,00,000"	Yes
43	04-09-19	GOQii	Health and Wellness	Wearable Fitness Bands	Menlo Park	Bennett Coleman and Company Ltd (BCCL)	Series C	"45,00,00,000"	Yes
44	03-09-19	Vyapar App	Accounting	Mobile-based Accounting Software	Bengaluru	"India Quotient, Axilor Ventures"	Series A	"50,00,000"	Yes
45	01-08-19	CarDekho	E-Commerce	Automotive	Gurgaon	SC GG India Mobility Holdings LLC	Series C	"2,00,00,000"	Yes
46	01-08-19	Progcap	Finance	Supply Chain Management	New Delhi	Sequoia India	Series A	"50,00,000"	Yes
47	01-08-19	MyPetrolPump	Retail	Fuel Delivery	Bengaluru		Seed Funding Round	"16,00,000"	Yes
48	01-08-19	Alteria Capital	Finance	VC Funds	Mumbai	"Azim Premji, Binny Bansal"	Single Venture	"14,00,00,000"	Yes
49	01-08-19	Pine Labs	Information Technology	Last-mile retail transaction technology	Noida	Pine Labs Pte Ltd	Corporate Round	"3,80,80,000"	Yes
50	12-08-19	Meesho	E-Commerce	Social Commerce	Bengaluru	Naspers	Series D	"12,50,00,000"	Yes
51	13-08-19	Cars24	E-Commerce	Car Retail	Gurgoan	MS Dhoni	Series D	"1,10,00,000"	Yes
52	13-08-19	Uniphore	Customer Service Platform	Conversational AI	Palo Alto	March Capital Partners	Series C	"5,10,00,000"	Yes
53	23-08-19	Zendrive	Automotive	Road Safety Analytics	San Francisco	XL Innovate	Series B	"3,70,00,000"	Yes
54	23-08-19	Lo! Foods	Consumer Goods	Low carb food for Diabetics	Bengaluru	"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)"	Seed Round	"5,00,000"	Yes
55	23-08-19	Tala	FinTech	Digital Lending Platform	Santa Monica	RPS Ventures	Series D	"11,00,00,000"	Yes
56	22-08-19	INDwealth	FinTech	Wealth Management	Gurgaon	Tiger Global Management	Venture Round	"1,50,00,000"	Yes
57	21-08-19	HungerBox	Food and Beverage	B2B Foodtech	Bengaluru	One97 Communications Ltd.	Series C	"65,90,000"	Yes
